Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,Sample 1,Ofav,UNKNOWN,SYBR,None,33.78528595,33.78528595,,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
A2,Sample 2,Ofav,UNKNOWN,SYBR,None,34.80789566,34.62646484,0.25657922,,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
A3,Sample 3,Ofav,UNKNOWN,SYBR,None,15.88073349,15.37767792,0.711428702,,,,FALSE,0.1,TRUE,3,11,,Y,N,N,N
A4,Sample 4,Ofav,UNKNOWN,SYBR,None,17.60911942,17.38113403,0.322421372,,,,FALSE,0.1,TRUE,3,13,,N,N,N,N
A5,Sample 5,Ofav,UNKNOWN,SYBR,None,15.8974781,15.71953487,0.251649737,,,,FALSE,0.1,TRUE,3,13,,N,N,N,N
A6,Sample 6,Ofav,UNKNOWN,SYBR,None,17.60686302,17.43697166,0.240262657,,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,15.8074913,15.76212215,0.064161666,,,,FALSE,0.1,TRUE,3,12,,N,N,N,N
A8,Sample 8,Ofav,UNKNOWN,SYBR,None,20.14517593,20.06946945,0.107066482,,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A9,Sample 9,Ofav,UNKNOWN,SYBR,None,18.7524662,18.63666534,0.163765788,,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
A10,Sample 10,Ofav,UNKNOWN,SYBR,None,34.14635468,34.06585693,0.1138383,,,,FALSE,0.1,TRUE,3,31,,N,N,N,N
A11,Sample 11,Ofav,UNKNOWN,SYBR,None,Undetermined,34.92080688,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
A12,,Ofav,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,Undetermined,33.78528595,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
B2,Sample 2,Ofav,UNKNOWN,SYBR,None,34.44503784,34.62646484,0.25657922,,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
B3,Sample 3,Ofav,UNKNOWN,SYBR,None,14.87462139,15.37767792,0.711428702,,,,FALSE,0.1,TRUE,3,12,,Y,N,N,N
B4,Sample 4,Ofav,UNKNOWN,SYBR,None,17.15314674,17.38113403,0.322421372,,,,FALSE,0.1,TRUE,3,13,,N,N,N,N
B5,Sample 5,Ofav,UNKNOWN,SYBR,None,15.54159164,15.71953487,0.251649737,,,,FALSE,0.1,TRUE,3,12,,N,N,N,N
B6,Sample 6,Ofav,UNKNOWN,SYBR,None,17.26708031,17.43697166,0.240262657,,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
B7,Sample 7,Ofav,UNKNOWN,SYBR,None,15.71675301,15.76212215,0.064161666,,,,FALSE,0.1,TRUE,3,13,,N,N,N,N
B8,Sample 8,Ofav,UNKNOWN,SYBR,None,19.99376106,20.06946945,0.107066482,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
B9,Sample 9,Ofav,UNKNOWN,SYBR,None,18.52086639,18.63666534,0.163765788,,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
B10,Sample 10,Ofav,UNKNOWN,SYBR,None,33.98536301,34.06585693,0.1138383,,,,FALSE,0.1,TRUE,3,31,,N,N,N,N
B11,Sample 11,Ofav,UNKNOWN,SYBR,None,34.92080688,34.92080688,,,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
B12,,Ofav,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
C1,Sample 1,A,UNKNOWN,SYBR,None,27.36069107,27.16762161,0.273042798,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C2,Sample 2,A,UNKNOWN,SYBR,None,27.28052521,27.08823586,0.271938205,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C3,Sample 3,A,UNKNOWN,SYBR,None,30.48946381,30.38691711,0.145021573,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
C4,Sample 4,A,UNKNOWN,SYBR,None,31.35468292,31.66718483,0.44194445,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
C5,Sample 5,A,UNKNOWN,SYBR,None,31.29884529,30.96472168,0.472520798,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
C6,Sample 6,A,UNKNOWN,SYBR,None,31.18226814,31.09633064,0.121533975,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
C7,Sample 7,A,UNKNOWN,SYBR,None,31.33228874,31.39159584,0.083872899,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
C8,Sample 8,A,UNKNOWN,SYBR,None,35.38485336,34.7986908,0.828956366,,,,FALSE,0.1,TRUE,3,31,,Y,N,N,N
C9,Sample 9,A,UNKNOWN,SYBR,None,32.64379501,33.17015839,0.744392931,,,,FALSE,0.1,TRUE,3,28,,Y,N,N,N
C10,Sample 10,A,UNKNOWN,SYBR,None,32.00428772,30.78379822,1.726034164,,,,FALSE,0.1,TRUE,3,28,,Y,N,N,N
C11,Sample 11,A,UNKNOWN,SYBR,None,Undetermined,31.78138351,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
D1,Sample 1,A,UNKNOWN,SYBR,None,26.97455025,27.16762161,0.273042798,,,,FALSE,0.1,TRUE,3,23,,N,N,Y,N
D2,Sample 2,A,UNKNOWN,SYBR,None,26.8959465,27.08823586,0.271938205,,,,FALSE,0.1,TRUE,3,23,,N,N,Y,N
D3,Sample 3,A,UNKNOWN,SYBR,None,30.28437233,30.38691711,0.145021573,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
D4,Sample 4,A,UNKNOWN,SYBR,None,31.97968674,31.66718483,0.44194445,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
D5,Sample 5,A,UNKNOWN,SYBR,None,30.63059998,30.96472168,0.472520798,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
D6,Sample 6,A,UNKNOWN,SYBR,None,31.01039314,31.09633064,0.121533975,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
D7,Sample 7,A,UNKNOWN,SYBR,None,31.45090294,31.39159584,0.083872899,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
D8,Sample 8,A,UNKNOWN,SYBR,None,34.21253204,34.7986908,0.828956366,,,,FALSE,0.1,TRUE,3,30,,Y,N,N,N
